Chrome	2	i5-2500K	1982	15637	9990	13137	9891	14379	9624	20635	12483	25301	15788	12893	16807	20854	18555	33703	22249
Chrome	2	i5-2500	3740	26780	15229	24560	20772	24275	17423	30717	20234	40740	27007	17965	29527	41125	29924	61977	36239
Microsoft Internet Explorer	0	i3-380M	1141	16095	9619	8721	14003	10466	10597	22496	3887	11187	13676	3612	10075	7335	9130	15742	7425
Chrome	1	i5-560M	2562	22683	11659	16534	12463	20058	9859	10166	11963	13827	17247	11119	23910	23668	20457	40405	26824
Chrome	2	i5-2500K	2324	15995	9401	11179	9064	13977	10448	20172	11588	24423	16748	10116	16094	16121	17910	28631	21594
Chrome	2	i5-3210M	3822	23720	14104	20820	16081	22526	15836	23551	11254	39641	22683	10871	27091	32053	28580	51800	32523
Firefox	2	i5-2400S	2909	25376	15812	24632	27242	20990	14036	24398	15491	63121	25184	9290	23649	31229	65119	52263	31505
Firefox	0	Core 2 Duo E6700	801	7546	4186	5343	6117	7569	3913	4415	5183	18085	7783	2835	11286	6155	12038	12447	12701
Firefox	2	i5-2320	2536	23673	14726	24114	26238	20975	9375	27575	21774	49455	31879	10165	25883	37263	46499	57420	12033
Microsoft Internet Explorer	0	Celeron B800	777	10138	6333	5672	7508	6638	6881	16402	3208	7806	9752	3183	6308	5719	6600	8889	5051
Chrome	1	i5-560M	2538	21284	11808	16358	12249	20064	10730	22129	11853	29748	16764	9034	24464	25432	19240	42061	25965
Firefox	1	i5-560M	1976	22740	11494	18314	19100	18722	8299	19753	13470	45712	23973	4854	21273	25948	37628	46851	10116
Chrome	2	i7-3770	4099	29089	16596	28303	22868	28335	21199	40999	19473	46322	29886	19722	33191	46087	33152	72663	40874
Microsoft Internet Explorer	2	i7-4800MQ	2117	27936	16796	20662	31353	20918	19546	41344	7505	22801	24242	5971	16839	15031	22377	35663	13713
Firefox	2	i5-2320	2536	23945	14793	24465	26517	21114	13883	27509	21774	49121	31901	10129	25958	34494	46721	56868	12033
Microsoft Internet Explorer	1	i5-560M	1372	20142	11232	10692	17073	13075	10627	23793	4494	13216	15889	4606	12034	7561	12198	19294	9680
Chrome	2	i7-3770	4248	29028	17066	28331	24802	28286	20464	37425	22923	47950	32207	20014	33134	45318	37221	72306	43770
Chrome	0	i3-3120M	2372	18863	10680	15731	12189	18030	10537	22929	11441	29342	19860	8820	21527	23904	21721	38697	26831
Chrome	2	i5-3210M	3792	23774	13950	21080	15107	22589	15759	22210	10496	39682	22625	10382	27468	31353	28905	52577	32424
Firefox	2	i5-3570K	3138	29799	11989	30929	72249	28418	16487	31631	21896	56936	35665	9084	30046	41832	40995	66553	45211
Firefox	2	i7-2670QM	2467	22445	13032	22336	23295	19723	12030	23599	18010	46647	29768	7387	23328	31958	54019	52367	34117
Microsoft Internet Explorer	0	Core 2 Duo E8400	1305	17684	10237	9960	9756	12370	9606	23913	4441	13289	13494	3066	12380	4582	9847	16805	8542
Chrome	0	i3-350M	1982	16047	8716	9921	7553	14525	8712	17933	9280	19002	14187	10558	15720	14669	16811	25597	17746
Microsoft Internet Explorer	2	i5-3570K	2000	26162	15913	18719	31956	19357	19872	40737	7864	22048	25087	6016	16779	15979	17252	33115	13072
Firefox	1	i5-480M	1661	19639	10478	14999	15386	15770	10105	12978	9553	38864	21361	2824	18036	21431	33891	30217	24219
Firefox	2	i5-2320	2472	23821	14474	24324	25830	20812	8908	26945	20495	49631	31766	8963	25657	36147	48025	59805	34712
Microsoft Internet Explorer	0	Celeron N2815	580	7633	4592	3618	5551	5106	3682	6873	1425	5541	6180	2467	4512	3065	3357	6695	3207
Microsoft Internet Explorer	2	i5-3570K	2013	27613	15023	17336	26377	19334	16424	37228	6707	22023	24822	6035	16684	16658	17816	29873	13283
Microsoft Internet Explorer	0	Celeron B800	917	10158	6598	6214	9081	6740	6496	13088	2498	7843	9404	2876	6323	4143	6460	10150	4999
Firefox	2	i5-3570K	3129	29887	12101	30297	57301	28088	15052	30200	25776	57234	37933	8208	30413	41749	52613	66359	38646
Microsoft Internet Explorer	0	Celeron P4600	862	12699	6373	5922	8378	7756	6283	15918	3724	8746	9011	3125	6626	5788	6226	9422	5058
Microsoft Internet Explorer	1	i5-560M	1391	19717	11038	10849	17431	12811	11571	25279	3655	12998	15748	3997	12740	8029	11618	19563	9329
Firefox	1	i5-480M	1790	19124	10137	15970	17310	15902	8882	18246	12982	38300	21829	6914	19074	21167	33414	38026	26626
Microsoft Internet Explorer	2	i7-3610QM	1700	23058	13502	15499	23080	16309	15283	32635	6670	18600	21437	5614	12052	14683	14637	25523	11002
Chrome	1	i5-560M	1118	22717	9731	14552	11228	18068	4692	17407	1906	29760	3731	3486	23543	8076	4249	24989	9285
Firefox	1	i5-560M	1998	22512	11277	18441	19704	18634	10678	14883	15002	45712	21998	8290	21728	25922	51526	47981	29297
Firefox	2	i7-3770	3337	30719	17615	32307	35865	27808	16135	32828	25613	57666	39591	12962	31023	43462	45213	71742	47764
Microsoft Internet Explorer	1	i5-560M	1391	19344	11276	11126	15107	13045	11016	24525	3608	13343	15566	3592	9885	8093	11976	19747	9124
Microsoft Internet Explorer	1	i5-560M	1393	19273	10981	10079	16081	13075	10428	24648	3929	13758	15773	3995	12440	6707	11237	19294	9501
Microsoft Internet Explorer	0	Celeron B800	778	10081	6702	5629	7888	6701	6437	13834	2795	7941	9673	3184	5631	5902	6393	10294	5007
Chrome	2	i5-2320	3441	24117	13787	21729	17492	21772	16663	30504	17226	37519	25735	19516	26642	36111	28564	55095	33363
Safari	2	i7-3615QM	1940	25127	21004	25172	20685	23078	16711	31988	19007	48528	32986	13561	23649	31479	37036	41318	21310
Microsoft Internet Explorer	1	i5-430M	963	15076	5143	7169	10909	4637	9013	12785	3297	7080	7415	2952	4600	5472	5873	7709	3626
Firefox	2	i5-3570K	3097	29917	12219	31019	79130	28281	15607	29157	23641	56999	37901	9909	31203	45002	52391	65394	43512
Firefox	0	Core 2 Duo P8700	1496	15504	9372	13372	13016	13455	8556	16548	8866	35788	19599	2648	17259	14958	25382	39081	7445
Microsoft Internet Explorer	2	i5-3570K	2003	27640	14375	17304	21304	19394	16842	39783	8125	22039	25258	6950	16578	12659	16633	30687	13105
Firefox	2	i7-3770	3327	30744	17295	31508	36927	27515	17694	29563	25955	57644	36975	12497	30882	42833	59199	71533	48312
Microsoft Internet Explorer	2	i5-4670	2239	28613	15527	20355	28007	21492	15836	42644	8149	23101	26035	7450	19476	11853	21660	31358	14440
Firefox	2	i5-3210M	2674	26040	14694	24826	28325	22062	13423	21848	15434	63330	22621	8981	22466	29761	64749	49848	27166
Firefox	2	i5-4670	1847	30361	18863	33069	39565	29112	14978	32247	9065	49327	37170	1220	36389	44823	45953	50643	47711
Firefox	2	i5-2320	2588	23572	14813	24656	26238	21120	13993	24967	22068	49153	31430	10237	25887	34124	44725	56479	35717
Microsoft Internet Explorer	0	Celeron B800	780	10108	6433	5750	7588	6820	6508	16226	2842	8002	9779	3153	5963	4299	5964	9200	4694
Microsoft Internet Explorer	0	Core 2 Duo E6300	828	10884	5882	5691	7913	7949	5594	15597	2735	8352	7909	2691	7131	5311	4574	9883	5250
Chrome	2	i5-2500	3644	26564	16066	22967	18464	23373	18623	31313	18922	40427	26279	16851	28079	39038	29496	62344	35400
Firefox	2	i5-3210M	2684	26092	14561	23494	26238	22081	13110	20407	14188	62913	20976	8759	22657	29821	44251	49502	27131
Microsoft Internet Explorer	0	i3-3240	1752	25326	13877	16798	25306	17832	14875	34743	7008	19457	22484	6584	14100	12477	16280	26210	11855
Firefox	2	i5-3570K	3117	29887	12319	31079	79130	27724	16598	30858	23958	56957	34391	11698	30095	42621	52761	65721	42792
Microsoft Internet Explorer	0	Pentium 3558U	781	11529	8179	6635	10133	4173	4372	15847	2836	5516	6958	3599	3453	6904	5500	11500	2635
Microsoft Internet Explorer	2	i5-3570K	1965	27520	15394	18441	26802	19452	17025	40084	7385	22102	24951	5646	16726	17804	16263	32924	12933
Microsoft Internet Explorer	2	i5-2400	1762	22534	14694	14765	22355	14897	15428	36441	6532	18023	21755	5267	14163	15461	15183	26184	11465
Firefox	2	i7-3770	3371	30719	17661	32525	38055	29208	11807	31530	26045	57972	39466	10667	32428	44151	59125	72235	47202
Firefox	2	i5-2320	2557	23720	14756	24632	25306	20942	10055	25963	21848	47919	31738	10437	25714	37411	47312	58250	34441
Microsoft Internet Explorer	0	Celeron B800	781	10148	6526	5483	7741	6626	6261	15073	3472	7716	9627	3482	5246	5708	6313	10759	5051
Microsoft Internet Explorer	0	i3-3217U	977	13343	7741	7468	9737	9336	7941	19867	3667	10107	12131	3981	7774	5780	7844	12070	4529
Chrome	2	i7-3770	4083	28703	16446	27754	23187	27616	21542	38791	19085	47297	29856	19862	32728	45273	33226	72306	40623
Chrome	2	i5-2467M	1520	14884	9977	12973	9048	15276	9859	15916	10398	27957	16545	9115	19155	18307	19974	31111	23445
Chrome	2	i7-3770	4112	28823	16540	27514	24318	27695	20109	40008	18971	47414	30133	19850	32771	45767	33448	72377	39975
Firefox	0	Core 2 Duo E6400	1327	12796	7438	10099	9336	10517	6861	11884	9359	30005	16691	3200	15752	13808	25530	31296	19115
Chrome	0	i3-3217U	1313	13116	8175	9334	7031	12866	6935	13575	7794	20102	14726	10225	15137	12910	16354	22771	16549
Chrome	1	i5-560M	2608	22149	11824	16294	11841	19313	11137	20899	12264	29225	17641	13908	23003	23199	21090	41522	26751
Chrome	2	i7-3820	3906	27723	15587	24973	20021	24815	18029	31444	21359	42437	29051	22216	30628	41125	32042	66553	37932
Firefox	0	Core 2 Duo E8400	1790	17938	11261	15894	15482	15700	6990	20352	15421	40077	22120	5192	23140	19015	36629	46437	9058
Microsoft Internet Explorer	2	i5-4440	1783	23354	14635	17002	27696	17668	16925	37293	6299	18808	21563	5387	16179	15599	18978	28295	11961
Microsoft Internet Explorer	0	Core 2 Duo E6400	952	12404	7523	6211	7717	8975	5898	16799	3243	9452	9685	3091	8681	4679	6111	11581	6123
Microsoft Internet Explorer	2	i5-4440	1595	23649	13392	15894	24679	17219	14492	37824	7008	19009	16914	5901	15505	12910	13958	25672	10314
Microsoft Internet Explorer	2	i7-4702MQ	1866	23750	15025	17065	25178	17978	16424	37836	6430	19660	20882	5885	16666	14255	17207	30130	12318
Microsoft Internet Explorer	2	i7-2630QM	1430	18347	11607	11597	17868	12511	12417	27815	5998	14532	17892	5423	11713	10663	11078	19859	9250
Firefox	1	i5-480M	1786	20418	11107	16815	17741	16699	9917	13701	13894	39234	22123	7358	19275	22503	34449	40702	9118
Chrome	0	Celeron E3300	2087	17112	8169	10069	7163	15613	7613	14837	10952	22522	14630	11049	20669	11881	16781	28490	21475
Firefox	2	i7-2670Q	2186	21602	13296	21224	22660	19108	12730	24672	18205	42402	28432	7551	23370	29805	55573	49742	10486
